,idx
A1BG,1
A1BG-AS1,2
A1CF,3
A2M,4
A2M-AS1,5
A2ML1,6
A2ML1-AS1,7
A2ML1-AS2,8
A3GALT2,9
A4GALT,10
A4GNT,11
AAAS,12
AACS,13
AADAC,14
AADACL2,15
AADACL2-AS1,16
AADACL3,17
AADACL4,18
AADAT,19
AAGAB,20
AAK1,21
AAMDC,22
AAMP,23
AANAT,24
AAR2,25
AARD,26
AARS1,27
AARS2,28
AARSD1,29
AASDH,30
AASDHPPT,31
AASS,32
AATBC,33
AATF,34
AATK,35
ABALON,36
ABAT,37
ABCA1,38
ABCA2,39
ABCA3,40
ABCA4,41
ABCA5,42
ABCA6,43
ABCA7,44
ABCA8,45
ABCA9,46
ABCA9-AS1,47
ABCA10,48
ABCA12,49
ABCA13,50
ABCB1,51
ABCB4,52
ABCB5,53
ABCB6,54
ABCB7,55
ABCB8,56
ABCB9,57
ABCB10,58
ABCB11,59
ABCC1,60
ABCC2,61
ABCC3,62
ABCC4,63
ABCC5,64
ABCC5-AS1,65
ABCC6,66
ABCC8,67
ABCC9,68
ABCC10,69
ABCC11,70
ABCC12,71
ABCD1,72
ABCD2,73
ABCD3,74
ABCD4,75
ABCE1,76
ABCF1,77
ABCF1-DT,78
ABCF2,79
ABCF2-H2BK1,80
ABCF3,81
ABCG1,82
ABCG2,83
ABCG4,84
ABCG5,85
ABCG8,86
ABHD1,87
ABHD2,88
ABHD3,89
ABHD4,90
ABHD5,91
ABHD6,92
ABHD8,93
ABHD10,94
ABHD11,95
ABHD12,96
ABHD12B,97
ABHD13,98
ABHD14A,99
ABHD14A-ACY1,100
ABHD14B,101
ABHD15,102
ABHD15-AS1,103
ABHD16A,104
ABHD16B,105
ABHD17A,106
ABHD17B,107
ABHD17C,108
ABHD18,109
ABI1,110
ABI2,111
ABI3,112
ABI3BP,113
ABITRAM,114
ABL1,115
ABL2,116
ABLIM1,117
ABLIM2,118
ABLIM3,119
ABO,120
ABR,121
ABR-AS1,122
ABRA,123
ABRACL,124
ABRAXAS1,125
ABRAXAS2,126
ABT1,127
ABTB1,128
ABTB2,129
ABTB3,130
ACAA1,131
ACAA2,132
ACACA,133
ACACB,134
ACAD8,135
ACAD9,136
ACAD9-DT,137
ACAD10,138
ACAD11,139
ACADL,140
ACADM,141
ACADS,142
ACADSB,143
ACADVL,144
ACAN,145
ACAP1,146
ACAP2,147
ACAP2-IT1,148
ACAP3,149
ACAT1,150
ACAT2,151
ACBD3,152
ACBD3-AS1,153
ACBD4,154
ACBD5,155
ACBD6,156
ACBD7,157
ACCS,158
ACCSL,159
ACD,160
ACE,161
ACE2,162
ACE2-DT,163
ACER1,164
ACER2,165
ACER3,166
ACHE,167
ACIN1,168
ACKR1,169
ACKR2,170
ACKR3,171
ACKR4,172
ACLY,173
ACMSD,174
ACO1,175
ACO2,176
ACOD1,177
ACOT1,178
ACOT2,179
ACOT4,180
ACOT6,181
ACOT7,182
ACOT8,183
ACOT9,184
ACOT11,185
ACOT12,186
ACOT13,187
ACOX1,188
ACOX2,189
ACOX3,190
ACOXL,191
ACOXL-AS1,192
ACP1,193
ACP2,194
ACP3,195
ACP4,196
ACP5,197
ACP6,198
ACP7,199
ACR,200
ACRBP,201
ACRV1,202
ACSBG1,203
ACSBG2,204
ACSF2,205
ACSF3,206
ACSL1,207
ACSL3,208
ACSL3-AS1,209
ACSL4,210
