"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","resolution"
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","7/177","66/8773",0.000345136447015407,0.000345136447015407,0.0875556670849611,"55157/2058/55699/25973/80222/10352/8565",7,1
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","4/177","23/8773",0.00105049603954771,0.00105049603954771,0.133247129226841,"79947/23463/10654/10269",4,1
"hsa00100","Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","3/177","20/8773",0.00714958079694059,0.00714958079694059,0.60457858668866,"51478/3930/6646",3,1
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","7/177","121/8773",0.0111130595178792,0.0111130595178792,0.699748299106986,"842/2475/4853/4893/5208/5293/6548",7,1
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","3/177","26/8773",0.0149284108303207,0.0149284108303207,0.699748299106986,"5279/10026/55650",3,1
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","3/177","27/8773",0.0165500635058499,0.0165500635058499,0.699748299106986,"64834/51102/117145",3,1
"hsa04146","Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","5/177","83/8773",0.0259220788922212,0.0259220788922212,0.773363727145057,"5825/3155/5192/8799/10654",5,1
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","4/177","56/8773",0.0260747903922906,0.0260747903922906,0.773363727145057,"84455/23432/55733/8643",4,1
"hsa04130","Genetic Information Processing","Folding, sorting and degradation","hsa04130","SNARE interactions in vesicular transport","3/177","33/8773",0.0282806050653317,0.0282806050653317,0.773363727145057,"10228/9341/8674",3,1
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","5/177","89/8773",0.0336915477204279,0.0336915477204279,0.773363727145057,"148327/2475/4893/5293/83667",5,1
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","5/177","97/8773",0.0460954355748453,0.0460954355748453,0.773363727145057,"842/148327/2475/4893/5293",5,1
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","5/177","98/8773",0.0478137483918643,0.0478137483918643,0.773363727145057,"2475/4853/4893/5293/6464",5,1
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","5/177","98/8773",0.0478137483918643,0.0478137483918643,0.773363727145057,"2475/4893/5293/8394/126969",5,1
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","4/177","69/8773",0.0503010016938356,0.0503010016938356,0.773363727145057,"405/4893/5293/5546",4,1
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","7/177","168/8773",0.0534477326164577,0.0534477326164577,0.773363727145057,"8289/1855/2948/2475/4893/5293/6464",7,1
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","7/177","170/8773",0.0562775997901456,0.0562775997901456,0.773363727145057,"22926/80267/57134/118424/10277/56893/55432",7,1
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","5/177","103/8773",0.0569700421622381,0.0569700421622381,0.773363727145057,"9927/79594/4893/65018/84134",5,1
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","3/177","44/8773",0.0585452206119739,0.0585452206119739,0.773363727145057,"6883/6884/27097",3,1
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","4/177","75/8773",0.0645604086820378,0.0645604086820378,0.773363727145057,"2475/4893/5293/6464",4,1
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","8/177","212/8773",0.0649940145825506,0.0649940145825506,0.773363727145057,"405/148327/2948/2475/4853/4893/164091/5293",8,1
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","3/177","46/8773",0.0652022993986894,0.0652022993986894,0.773363727145057,"2475/5293/5590",3,1
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","5/177","108/8773",0.0670676427275174,0.0670676427275174,0.773363727145057,"148327/200186/2475/5293/5590",5,1
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","4/177","79/8773",0.0751212245469192,0.0751212245469192,0.795529191982963,"2475/4893/5293/6464",4,1
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","6/177","147/8773",0.0767710444835092,0.0767710444835092,0.795529191982963,"1855/2475/4853/4893/5293/6464",6,1
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","3/177","53/8773",0.0910393090721742,0.0910393090721742,0.795529191982963,"199857/29929/57134",3,1
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","4/177","85/8773",0.0924843319111091,0.0924843319111091,0.795529191982963,"2475/4893/5293/6464",4,1
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","5/177","120/8773",0.0950795372949217,0.0950795372949217,0.795529191982963,"148327/2475/4893/5293/6464",5,1
"hsa05210","Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/177","86/8773",0.0955496206404167,0.0955496206404167,0.795529191982963,"842/2475/4893/5293",4,1
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","6/177","156/8773",0.0955560513258751,0.0955560513258751,0.795529191982963,"1855/2475/4893/5293/64121/83667",6,1
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","5/177","121/8773",0.0976482126752782,0.0976482126752782,0.795529191982963,"29956/8560/4893/5293/5590",5,1
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","5/177","121/8773",0.0976482126752782,0.0976482126752782,0.795529191982963,"148327/200186/2475/5208/5293",5,1
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/177","57/8773",0.107430898379793,0.107430898379793,0.795529191982963,"2882/2948/51060",3,1
"hsa01212","Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","3/177","57/8773",0.107430898379793,0.107430898379793,0.795529191982963,"1376/64834/51102",3,1
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","3/177","58/8773",0.111697586863225,0.111697586863225,0.795529191982963,"842/4893/5293",3,1
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/177","92/8773",0.114918751341997,0.114918751341997,0.795529191982963,"842/5293/7188/7709",4,1
"hsa00440","Metabolism","Metabolism of other amino acids","hsa00440","Phosphonate and phosphinate metabolism","1/177","6/8773",0.115140397088284,0.115140397088284,0.795529191982963,"10390",1,1
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","3/177","59/8773",0.116028427793366,0.116028427793366,0.795529191982963,"842/4893/5293",3,1
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","5/177","129/8773",0.119433985496973,0.119433985496973,0.797329376863446,"148327/4893/5293/5590/6464",5,1
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","3/177","61/8773",0.124875737087815,0.124875737087815,0.81228212248754,"2475/4893/5293",3,1
"hsa00310","Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","3/177","63/8773",0.133959082978494,0.133959082978494,0.81890869651671,"5351/7799/9869",3,1
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","2/177","32/8773",0.13565906979305,0.13565906979305,0.81890869651671,"84938/2475",2,1
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/177","135/8773",0.137149146378932,0.137149146378932,0.81890869651671,"842/1676/1677/4893/5293",5,1
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","5/177","137/8773",0.143301057289928,0.143301057289928,0.81890869651671,"2475/4893/5293/5590/6464",5,1
"hsa00740","Metabolism","Metabolism of cofactors and vitamins","hsa00740","Riboflavin metabolism","1/177","8/8773",0.150511190635613,0.150511190635613,0.81890869651671,"80308",1,1
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","3/177","67/8773",0.152778525820226,0.152778525820226,0.81890869651671,"2475/4893/5293",3,1
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","3/177","70/8773",0.167409753839425,0.167409753839425,0.81890869651671,"4893/5293/6464",3,1
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","3/177","70/8773",0.167409753839425,0.167409753839425,0.81890869651671,"2475/4893/5293",3,1
"hsa03266","Genetic Information Processing","Information processing in viruses","hsa03266","Virion - Herpesvirus","1/177","9/8773",0.167665727915419,0.167665727915419,0.81890869651671,"8764",1,1
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","7/177","225/8773",0.16957819536669,0.16957819536669,0.81890869651671,"9826/842/148327/2475/4893/5293/7188",7,1
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","4/177","108/8773",0.173851812103171,0.173851812103171,0.81890869651671,"9670/55705/55746/91181",4,1
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","3/177","72/8773",0.177384129135098,0.177384129135098,0.81890869651671,"842/4893/5293",3,1
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","5/177","148/8773",0.179157902711779,0.179157902711779,0.81890869651671,"2475/4893/5293/8394/6464",5,1
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","3/177","73/8773",0.182432277814245,0.182432277814245,0.81890869651671,"5298/5293/8394",3,1
"hsa01524","Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/177","73/8773",0.182432277814245,0.182432277814245,0.81890869651671,"842/2948/5293",3,1
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","5/177","149/8773",0.182574933880146,0.182574933880146,0.81890869651671,"1855/2475/4893/5293/6464",5,1
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","1/177","10/8773",0.184475765131185,0.184475765131185,0.81890869651671,"10380",1,1
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","10/177","359/8773",0.188957308542781,0.188957308542781,0.81890869651671,"842/148327/200186/1944/2475/4893/5293/5586/7059/117145",10,1
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","3/177","75/8773",0.19264208803786,0.19264208803786,0.81890869651671,"842/92344/83667",3,1
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","3/177","75/8773",0.19264208803786,0.19264208803786,0.81890869651671,"148327/2882/8458",3,1
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","3/177","76/8773",0.197800421876984,0.197800421876984,0.81890869651671,"842/2475/5293",3,1
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","3/177","76/8773",0.197800421876984,0.197800421876984,0.81890869651671,"4893/5293/6464",3,1
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","10/177","364/8773",0.200139926244125,0.200139926244125,0.81890869651671,"22926/842/2882/2475/55746/91181/65018/23435/84134/56893",10,1
"hsa00513","Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","2/177","42/8773",0.20759264828393,0.20759264828393,0.835490161418592,"199857/57134",2,1
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","4/177","117/8773",0.210779260640043,0.210779260640043,0.835490161418592,"8289/55929/51377/6944",4,1
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/177","331/8773",0.22508812865598,0.22508812865598,0.878481603337511,"148327/1855/2475/4853/4893/5293/5590/7059/23352",9,1
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","2/177","45/8773",0.229942120953852,0.229942120953852,0.883828566983705,"23456/5825",2,1
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","3/177","83/8773",0.234754484854322,0.234754484854322,0.885769365530621,"22823/1912/6045",3,1
"hsa00860","Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","2/177","46/8773",0.237430294660905,0.237430294660905,0.885769365530621,"2058/7389",2,1
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","5/177","167/8773",0.247755355536724,0.247755355536724,0.910893069173922,"84938/2475/4893/5293/64121",5,1
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","2/177","48/8773",0.252441822178368,0.252441822178368,0.914864348044912,"1629/3155",2,1
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","3/177","89/8773",0.267324006908745,0.267324006908745,0.942427298049354,"2475/4893/5293",3,1
"hsa00565","Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","2/177","50/8773",0.267477291230605,0.267477291230605,0.942427298049354,"10390/5051",2,1
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","2/177","54/8773",0.297519180874392,0.297519180874392,0.961162031936475,"29956/8560",2,1
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/177","138/8773",0.303629259895395,0.303629259895395,0.961162031936475,"148327/4893/5293/6464",4,1
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","5/177","182/8773",0.305996160557435,0.305996160557435,0.961162031936475,"1944/9860/4893/5293/5590",5,1
"hsa00061","Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","1/177","18/8773",0.307351612375333,0.307351612375333,0.961162031936475,"51102",1,1
"hsa04980",NA,NA,"hsa04980","Cobalamin transport and metabolism","1/177","18/8773",0.307351612375333,0.307351612375333,0.961162031936475,"25974",1,1
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","4/177","139/8773",0.308193944540022,0.308193944540022,0.961162031936475,"4209/2475/4893/6548",4,1
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","3/177","97/8773",0.31146632144199,0.31146632144199,0.961162031936475,"5298/5293/8394",3,1
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","3/177","97/8773",0.31146632144199,0.31146632144199,0.961162031936475,"55616/5293/8394",3,1
"hsa00785","Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","1/177","19/8773",0.321354897881851,0.321354897881851,0.961162031936475,"1629",1,1
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","4/177","142/8773",0.321928389196877,0.321928389196877,0.961162031936475,"10401/118424/55585/10277",4,1
