"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","resolution"
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","2/15","36/8773",0.00166235916060036,0.00166235916060036,0.0839928839040184,"178/5236",2,1
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","2/15","89/8773",0.00980678487380585,0.00980678487380585,0.104866756170889,"2773/2787",2,1
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","2/15","91/8773",0.0102348682041387,0.0102348682041387,0.104866756170889,"2773/2787",2,1
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","2/15","97/8773",0.0115684431978017,0.0115684431978017,0.104866756170889,"2773/2787",2,1
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","2/15","113/8773",0.0154770437670769,0.0154770437670769,0.104866756170889,"2773/2787",2,1
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","2/15","115/8773",0.0160007201640832,0.0160007201640832,0.104866756170889,"2773/2787",2,1
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","2/15","115/8773",0.0160007201640832,0.0160007201640832,0.104866756170889,"2773/2787",2,1
"hsa00230","Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","2/15","128/8773",0.0195883037737973,0.0195883037737973,0.104866756170889,"271/5236",2,1
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","2/15","129/8773",0.0198772247858325,0.0198772247858325,0.104866756170889,"2773/2787",2,1
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","2/15","132/8773",0.0207548788254884,0.0207548788254884,0.104866756170889,"2773/2787",2,1
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","2/15","139/8773",0.0228654807116718,0.0228654807116718,0.105028045374186,"2773/2787",2,1
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","2/15","148/8773",0.0257054107287207,0.0257054107287207,0.108233308331456,"2773/2787",2,1
"hsa00910","Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","1/15","17/8773",0.0286980735222329,0.0286980735222329,0.111539071179529,"765",1,1
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","2/15","182/8773",0.0376443779669511,0.0376443779669511,0.123337384111194,"55740/2773",2,1
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","2/15","188/8773",0.0399387181167783,0.0399387181167783,0.123337384111194,"2773/2787",2,1
"hsa00534","Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/15","24/8773",0.0402899710741373,0.0402899710741373,0.123337384111194,"9653",1,1
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","2/15","192/8773",0.0414978906957456,0.0414978906957456,0.123337384111194,"2773/2787",2,1
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","2/15","210/8773",0.0487974008916487,0.0487974008916487,0.124395780039872,"55740/2773",2,1
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","2/15","212/8773",0.0496362215588871,0.0496362215588871,0.124395780039872,"2773/2787",2,1
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","1/15","31/8773",0.0517526462779953,0.0517526462779953,0.124395780039872,"5236",1,1
"hsa00052","Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","1/15","32/8773",0.0533797007627617,0.0533797007627617,0.124395780039872,"5236",1,1
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","2/15","225/8773",0.0552183540971377,0.0552183540971377,0.124395780039872,"2773/2787",2,1
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","1/15","34/8773",0.0566259957056501,0.0566259957056501,0.124395780039872,"5208",1,1
"hsa01250","Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","1/15","37/8773",0.0614759611158691,0.0614759611158691,0.129423076033409,"5236",1,1
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","1/15","45/8773",0.0742956716184465,0.0742956716184465,0.150155462639387,"23456",1,1
"hsa00520","Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","1/15","49/8773",0.0806440606723133,0.0806440606723133,0.150912862076844,"5236",1,1
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","1/15","49/8773",0.0806440606723133,0.0806440606723133,0.150912862076844,"2773",1,1
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","1/15","58/8773",0.094779667615102,0.094779667615102,0.170558097418043,"2773",1,1
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","1/15","60/8773",0.0978932413305644,0.0978932413305644,0.170558097418043,"2773",1,1
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","1/15","67/8773",0.108712212861473,0.108712212861473,0.182189796122139,"5236",1,1
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/15","69/8773",0.111781031162437,0.111781031162437,0.182189796122139,"2773",1,1
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","1/15","76/8773",0.122444407872249,0.122444407872249,0.186455582041663,"2773",1,1
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","1/15","76/8773",0.122444407872249,0.122444407872249,0.186455582041663,"2773",1,1
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","1/15","78/8773",0.125469068748869,0.125469068748869,0.186455582041663,"8761",1,1
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","1/15","85/8773",0.135978930653062,0.135978930653062,0.190173685652487,"271",1,1
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/15","88/8773",0.140446969178311,0.140446969178311,0.190173685652487,"2773",1,1
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","1/15","99/8773",0.156645948745704,0.156645948745704,0.190173685652487,"911",1,1
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","1/15","101/8773",0.159560428955836,0.159560428955836,0.190173685652487,"2773",1,1
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","1/15","102/8773",0.1610141413135,0.1610141413135,0.190173685652487,"2773",1,1
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","1/15","102/8773",0.1610141413135,0.1610141413135,0.190173685652487,"911",1,1
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","1/15","103/8773",0.162465506540152,0.162465506540152,0.190173685652487,"8761",1,1
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","1/15","103/8773",0.162465506540152,0.162465506540152,0.190173685652487,"1307",1,1
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","1/15","109/8773",0.171124604891341,0.171124604891341,0.190173685652487,"2773",1,1
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","1/15","111/8773",0.173992352936591,0.173992352936591,0.190173685652487,"2773",1,1
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","1/15","114/8773",0.178276616443321,0.178276616443321,0.190173685652487,"2773",1,1
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","1/15","115/8773",0.1797000892177,0.1797000892177,0.190173685652487,"2773",1,1
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","1/15","120/8773",0.186782995780927,0.186782995780927,0.190173685652487,"2773",1,1
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","1/15","121/8773",0.188192709760274,0.188192709760274,0.190173685652487,"2773",1,1
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","1/15","121/8773",0.188192709760274,0.188192709760274,0.190173685652487,"5208",1,1
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","1/15","121/8773",0.188192709760274,0.188192709760274,0.190173685652487,"5208",1,1
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","1/15","124/8773",0.192408178861399,0.192408178861399,0.190621105992717,"2773",1,1
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","1/15","138/8773",0.211811623161634,0.211811623161634,0.205808864610494,"2773",1,1
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","1/15","154/8773",0.233453872549505,0.233453872549505,0.215690341927266,"2773",1,1
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/15","154/8773",0.233453872549505,0.233453872549505,0.215690341927266,"2773",1,1
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","1/15","155/8773",0.234787924285409,0.234787924285409,0.215690341927266,"2773",1,1
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","1/15","166/8773",0.249320176793382,0.249320176793382,0.224950535452675,"2773",1,1
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/15","170/8773",0.254540461840924,0.254540461840924,0.225631434318825,"911",1,1
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","1/15","193/8773",0.283905521457335,0.283905521457335,0.244202620415794,"126820",1,1
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/15","194/8773",0.28515743488136,0.28515743488136,0.244202620415794,"2787",1,1
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","1/15","212/8773",0.307345509138212,0.307345509138212,0.258817270853231,"2773",1,1
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/15","225/8773",0.322968631611804,0.322968631611804,0.262824401972516,"2773",1,1
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","1/15","229/8773",0.327709176209481,0.327709176209481,0.262824401972516,"55740",1,1
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","1/15","229/8773",0.327709176209481,0.327709176209481,0.262824401972516,"271",1,1
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","1/15","236/8773",0.335930661564811,0.335930661564811,0.265208417024851,"2787",1,1
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","1/15","266/8773",0.370114166899465,0.370114166899465,0.28770008115262,"2773",1,1
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","1/15","297/8773",0.403706683310732,0.403706683310732,0.309057747989077,"8718",1,1
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","1/15","359/8773",0.465935577853033,0.465935577853033,0.351373255882884,"2787",1,1
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","10/201","132/8773",0.000877994092935044,0.000877994092935044,0.24112379210321,"51744/919/962/356/2215/4893/8503/117157/6464/10451",10,1
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","8/201","97/8773",0.00166867676195993,0.00166867676195993,0.24112379210321,"10092/55616/2212/2213/2215/8503/8394/10451",8,1
"hsa046401","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/201","99/8773",0.00751719584715024,0.00751719584715024,0.650376705228086,"910/912/947/1604/1380/1435/3570",7,1
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","15/201","331/8773",0.00900175370557904,0.00900175370557904,0.650376705228086,"533/1298/1855/356/54626/57801/3915/4893/8503/5525/5567/5743/7059/7143/23352",15,1
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","6/201","90/8773",0.0170113449994997,0.0170113449994997,0.758224930792155,"8915/1380/2213/4893/8503/10451",6,1
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","7/201","119/8773",0.0193478379963866,0.0193478379963866,0.758224930792155,"356/9261/4893/4914/8503/6464/7161",7,1
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","3/201","26/8773",0.0209043657018743,0.0209043657018743,0.758224930792155,"5279/10026/55650",3,1
"hsa040711","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","7/201","121/8773",0.0209986490577337,0.0209986490577337,0.758224930792155,"140/8560/2205/4893/8503/5525/1901",7,1
"hsa005201","Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","4/201","49/8773",0.025394371443051,0.025394371443051,0.758224930792155,"1118/2582/80896/6675",4,1
"hsa040621","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","9/201","192/8773",0.0323440745855385,0.0323440745855385,0.758224930792155,"2268/2782/4893/8503/5567/6464/10451/6375/6846",9,1
"hsa041511","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","14/201","359/8773",0.0362113622781071,0.0362113622781071,0.758224930792155,"1298/200186/1435/356/2782/3570/3915/4893/4914/8503/5525/7059/117145/7143",14,1
"hsa04146","Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","5/201","83/8773",0.0414428185274975,0.0414428185274975,0.758224930792155,"5825/3155/5192/8799/6342",5,1
"hsa00730","Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/201","15/8773",0.0450906447277176,0.0450906447277176,0.758224930792155,"205/26289",2,1
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","4/201","59/8773",0.0458123943458535,0.0458123943458535,0.758224930792155,"9261/4893/8503/5743",4,1
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","4/201","61/8773",0.0507365902001592,0.0507365902001592,0.758224930792155,"3310/4893/8503/5567",4,1
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","6/201","117/8773",0.051850709798879,0.051850709798879,0.758224930792155,"8289/55929/64769/5928/51377/6944",6,1
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","5/201","89/8773",0.0531907326510399,0.0531907326510399,0.758224930792155,"1298/3915/9900/7059/7143",5,1
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","6/201","121/8773",0.0592069629140289,0.0592069629140289,0.758224930792155,"8915/919/4893/8503/5525/10451",6,1
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","7/201","152/8773",0.0600706475530352,0.0600706475530352,0.758224930792155,"533/2212/2213/2215/23673/7059/9341",7,1
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","4/201","68/8773",0.0701519667483751,0.0701519667483751,0.758224930792155,"2205/4893/8503/10451",4,1
"hsa00513","Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","3/201","42/8773",0.0709032435042761,0.0709032435042761,0.758224930792155,"199857/8703/10905",3,1
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","4/201","69/8773",0.0731972801916866,0.0731972801916866,0.758224930792155,"405/4893/8503/5546",4,1
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","5/201","98/8773",0.0740926155768012,0.0740926155768012,0.758224930792155,"1870/4893/8503/5567/6464",5,1
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","11/201","299/8773",0.0822104490225645,0.0822104490225645,0.758224930792155,"1435/11221/2005/356/3310/9261/8569/4893/4914/5567/5778",11,1
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","2/201","21/8773",0.0825217776516998,0.0825217776516998,0.758224930792155,"1806/79717",2,1
"hsa051461","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","5/201","102/8773",0.0846310348723097,0.0846310348723097,0.758224930792155,"910/912/3915/8503/5567",5,1
"hsa03267","Genetic Information Processing","Information processing in viruses","hsa03267","Virion - Adenovirus","1/201","4/8773",0.0885577310932579,0.0885577310932579,0.758224930792155,"4179",1,1
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/201","104/8773",0.0901819755763974,0.0901819755763974,0.758224930792155,"8915/9261/4893/8503/5743",5,1
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","7/201","168/8773",0.0911381576672288,0.0911381576672288,0.758224930792155,"8289/1855/1870/4259/4893/8503/6464",7,1
"hsa04973","Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","3/201","47/8773",0.0923269466429132,0.0923269466429132,0.758224930792155,"280/8503/6518",3,1
"hsa040141","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/201","236/8773",0.092598087476466,0.092598087476466,0.758224930792155,"1435/356/2782/4893/4914/8503/5567/9462/6464",9,1
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","8/201","202/8773",0.0926363093738278,0.0926363093738278,0.758224930792155,"1298/3915/8503/8394/6464/7059/7143/10451",8,1
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","4/201","75/8773",0.0928395942079162,0.0928395942079162,0.758224930792155,"1870/4893/8503/6464",4,1
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","4/201","76/8773",0.096335009389803,0.096335009389803,0.758224930792155,"1870/4893/8503/6464",4,1
"hsa00515","Metabolism","Glycan biosynthesis and metabolism","hsa00515","Mannose type O-glycan biosynthesis","2/201","23/8773",0.0965437015950578,0.0965437015950578,0.758224930792155,"8703/55624",2,1
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","8/201","204/8773",0.0966781434580516,0.0966781434580516,0.758224930792155,"2959/128312/8370/9261/4893/8503/5567/23352",8,1
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","6/201","138/8773",0.0970737800668157,0.0970737800668157,0.758224930792155,"4179/356/2213/3310/8503/7161",6,1
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","4/201","77/8773",0.0998916415893787,0.0998916415893787,0.759702221561327,"10092/10459/8503/6464",4,1
"hsa00330","Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","3/201","50/8773",0.106314704932845,0.106314704932845,0.774412033683743,"8659/223/6723",3,1
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","4/201","79/8773",0.107185056565224,0.107185056565224,0.774412033683743,"3570/4893/8503/6464",4,1
"hsa00270","Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","3/201","52/8773",0.116072106218926,0.116072106218926,0.808609599705825,"10768/26227/6723",3,1
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","9/201","250/8773",0.120392480761228,0.120392480761228,0.808609599705825,"116983/10092/55616/829/3310/26119/8394/51100/11311",9,1
"hsa00510","Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","3/201","53/8773",0.121073011996682,0.121073011996682,0.808609599705825,"199857/8703/10905",3,1
"hsa012321","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","4/201","85/8773",0.130438695581605,0.130438695581605,0.808609599705825,"205/26289/2987/29922",4,1
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/201","56/8773",0.136534222120902,0.136534222120902,0.808609599705825,"23432/55733/5567",3,1
"hsa01240","Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","6/201","153/8773",0.139018292829669,0.139018292829669,0.808609599705825,"205/26289/9249/65220/29922/79717",6,1
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/201","57/8773",0.141832309342615,0.141832309342615,0.808609599705825,"4259/9588/6723",3,1
"hsa051631","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/201","225/8773",0.144973671830528,0.144973671830528,0.808609599705825,"1870/356/2782/3570/4893/8503/5567/5743",8,1
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","6/201","155/8773",0.14516969460831,0.14516969460831,0.808609599705825,"356/3570/4720/4725/8503/6390",6,1
"hsa049341","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","6/201","155/8773",0.14516969460831,0.14516969460831,0.808609599705825,"405/1855/1870/5087/5567/5929",6,1
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","4/201","89/8773",0.14700434936229,0.14700434936229,0.808609599705825,"55509/919/4893/8503",4,1
"hsa049231","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","3/201","58/8773",0.147198321893012,0.147198321893012,0.808609599705825,"8503/5567/5743",3,1
"hsa04148",NA,NA,"hsa04148","Efferocytosis","6/201","156/8773",0.148291725897608,0.148291725897608,0.808609599705825,"405/9261/5087/5743/1901/55113",6,1
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","2/201","31/8773",0.157978613756354,0.157978613756354,0.82227942088535,"223/1806",2,1
