data name,rate,origin shape,origin range,filtered shape,filtered range,expr min,expr max,end idx
Brain_matrix.h5,0.9419,"(86, 10819)",1468.0,"(81, 10819)",1149.0,790,3835,81
PBMC_matrix.h5,0.9541,"(567, 12171)",8374.0,"(541, 12171)",986.0,439,3381,622
PB_s0816_matrix.h5,1.0,"(2467, 12595)",1499.0,"(2467, 12595)",1499.0,210,2396,3089
LC_s0816_matrix.h5,0.9991,"(5334, 14027)",2643.0,"(5329, 14027)",2643.0,245,2855,8418
LC_s0115_matrix.h5,0.9715,"(12400, 15487)",2842.0,"(12046, 15487)",2704.0,267,4329,20464
LC_s0920_matrix.h5,0.6704,"(18679, 16572)",2351.0,"(12523, 16572)",2351.0,210,5189,32987
LN_s0813_matrix.h5,0.9898,"(4423, 13932)",3363.0,"(4378, 13932)",3363.0,202,3571,37365
LN_s1231_matrix.h5,0.9957,"(7400, 13296)",2101.0,"(7368, 13296)",2101.0,331,3107,44733
CC_s1231_matrix.h5,0.9523,"(9031, 15882)",4455.0,"(8600, 15882)",4455.0,377,4883,53333
CN_s0107_matrix.h5,0.9972,"(6320, 13732)",3715.0,"(6302, 13732)",3715.0,350,3727,59635
PB_s0920_matrix.h5,0.9996,"(5286, 12992)",1592.0,"(5284, 12992)",1592.0,208,2550,64919
LN_s0107_matrix.h5,0.9952,"(7970, 13450)",2391.0,"(7932, 13450)",2391.0,292,3558,72851
CN_s0813_matrix.h5,0.9878,"(5248, 14621)",3305.0,"(5184, 14621)",3305.0,201,3489,78035
LN_s0920_matrix.h5,1.0,"(6905, 13328)",1460.0,"(6905, 13328)",1460.0,202,2183,84940
CC_s0813_matrix.h5,0.8616,"(9408, 16220)",2994.0,"(8106, 16220)",2994.0,204,5131,93046
LC_s0107_matrix.h5,0.9519,"(8703, 15326)",4481.0,"(8284, 15326)",4481.0,248,4745,101330
CC_s1125_matrix.h5,0.9875,"(7545, 14514)",4424.0,"(7451, 14514)",4424.0,200,3695,108781
LC_s1125_matrix.h5,0.9751,"(7295, 13925)",5069.0,"(7113, 13925)",5069.0,222,3946,115894
PB_s0115_matrix.h5,0.9962,"(7437, 12874)",2197.0,"(7409, 12874)",2197.0,415,3745,123303
CN_s1125_matrix.h5,0.9829,"(8172, 15093)",4232.0,"(8032, 15093)",4232.0,272,3703,131335
LN_s0115_matrix.h5,0.9967,"(5790, 12777)",2193.0,"(5771, 12777)",2193.0,379,3531,137106
LC_s0813_matrix.h5,0.7875,"(12581, 16475)",3626.0,"(9908, 16475)",3626.0,201,5347,147014
LN_s0816_matrix.h5,1.0,"(615, 9044)",783.0,"(615, 9044)",783.0,248,1573,147629
LN_s1125_matrix.h5,0.9593,"(12122, 14874)",4230.0,"(11629, 14874)",3959.0,225,3597,159258
CC_s0115_matrix.h5,0.9898,"(7273, 14768)",4397.0,"(7199, 14768)",4397.0,362,4891,166457
LC_s1231_matrix.h5,0.8212,"(16915, 16703)",3609.0,"(13890, 16703)",3609.0,304,5219,180347
CN_s1231_matrix.h5,0.9966,"(6385, 13591)",3832.0,"(6363, 13591)",3832.0,254,3276,186710
PB_s0813_matrix.h5,0.9932,"(3069, 13318)",1924.0,"(3048, 13318)",1924.0,200,3569,189758
CC_s0107_matrix.h5,0.8989,"(7911, 15728)",4955.0,"(7111, 15728)",4955.0,207,5341,196869
CN_s0115_matrix.h5,0.9983,"(4827, 13434)",3862.0,"(4819, 13434)",3862.0,390,3193,201688
CC_s0920_matrix.h5,0.8615,"(14262, 16444)",2583.0,"(12287, 16444)",2583.0,203,5078,213975
PB_s0107_matrix.h5,0.9968,"(6592, 12874)",1684.0,"(6571, 12874)",1684.0,346,3638,220546
NHL-7_d89_matrix.h5,1.0,"(197, 7075)",292.0,"(197, 7075)",292.0,358,1827,220743
NHL-7_d28_matrix.h5,0.9916,"(2382, 11069)",419.0,"(2362, 11069)",377.0,342,3055,223105
CLL-1_d38_matrix.h5,0.9833,"(4920, 11943)",566.0,"(4838, 11943)",518.0,351,3696,227943
NHL-6_d102_matrix.h5,0.9932,"(5023, 11533)",734.0,"(4989, 11533)",613.0,288,3021,232932
NHL-7_IP_matrix.h5,0.5936,"(3484, 12967)",963.0,"(2068, 12967)",649.0,861,5689,235000
CLL-1_d21_matrix.h5,0.922,"(6722, 12317)",475.0,"(6198, 12317)",433.0,526,4250,241198
CLL-2_d29_matrix.h5,0.9585,"(4287, 11819)",454.0,"(4109, 11819)",361.0,522,3745,245307
NHL-7_d12_matrix.h5,0.7044,"(2459, 11533)",878.0,"(1732, 11533)",421.0,748,4814,247039
CLL-2_d83_matrix.h5,0.9985,"(669, 9748)",426.0,"(668, 9748)",426.0,305,3206,247707
NHL-6_d29_matrix.h5,0.9679,"(6488, 12172)",575.0,"(6280, 12172)",411.0,380,4297,253987
CLL-1_d112_matrix.h5,1.0,"(1736, 10377)",472.0,"(1736, 10377)",472.0,299,2407,255723
CLL-2_d12_matrix.h5,0.8771,"(6271, 12151)",782.0,"(5500, 12151)",491.0,605,5115,261223
NHL-6_IP_matrix.h5,0.3241,"(4134, 13448)",1063.0,"(1340, 13448)",570.0,933,5922,262563
NHL-6_d12_matrix.h5,0.862,"(6117, 12284)",757.0,"(5273, 12284)",412.0,496,4472,267836
CLL-1_IP_matrix.h5,0.507,"(5515, 13279)",984.0,"(2796, 13279)",388.0,803,5675,270632
CLL-2_IP_matrix.h5,0.464,"(1763, 12151)",913.0,"(818, 12151)",327.0,770,5484,271450
H1_Motif_Optimized_matrix.h5,0.0736,"(5324, 17083)",2304.0,"(392, 17083)",474.0,267,8946,271842
H1_Control_matrix.h5,0.1356,"(1490, 16567)",4860.0,"(202, 16567)",1875.0,294,10195,272044
PTC85037_PBMCs_matrix.h5,0.9993,"(1496, 11520)",5579.0,"(1495, 11520)",5579.0,202,3298,273539
PST45044_CSF_matrix.h5,0.9877,"(8127, 14402)",1898.0,"(8027, 14402)",1352.0,339,4278,281566
MS49131_PBMCs_matrix.h5,0.9915,"(5152, 13936)",6060.0,"(5108, 13936)",6060.0,489,4267,286674
MS58637_CSF_matrix.h5,0.9963,"(2425, 12107)",4728.0,"(2416, 12107)",4728.0,338,3317,289090
PTC85037_CSF_matrix.h5,0.9972,"(1069, 10797)",634.0,"(1066, 10797)",634.0,204,2695,290156
MS71658_PBMCs_matrix.h5,0.9937,"(3332, 13400)",8318.0,"(3311, 13400)",8318.0,200,3536,293467
PTC32190_PBMCs_matrix.h5,0.9992,"(3892, 12867)",4755.0,"(3889, 12867)",4755.0,200,3024,297356
PST83775_CSF_matrix.h5,0.9763,"(1306, 12635)",1731.0,"(1275, 12635)",1731.0,200,3642,298631
MS74594_PBMCs_matrix.h5,0.9921,"(7741, 14616)",6984.0,"(7680, 14616)",6984.0,200,4282,306311
