HGNC_gene,h5_sample_frequency,biotype,gene_length,exon_count,exon_length_total,unique_exon_count,unique_exon_length_total,feature
A1BG,17850,gene with protein product,8315.0,24.0,9209.0,22.0,8639.0,protein coding
A1CF,7303,gene with protein product,86267.0,104.0,31017.0,32.0,12489.0,protein coding
A2M,16867,gene with protein product,48566.0,87.0,11592.0,81.0,10926.0,protein coding
A2ML1,9244,gene with protein product,64381.0,112.0,15741.0,57.0,9110.0,protein coding
A3GALT2,4351,gene with protein product,14333.0,5.0,1023.0,5.0,1023.0,protein coding
A4GALT,14245,gene with protein product,29178.0,17.0,9936.0,15.0,6183.0,protein coding
A4GNT,3490,gene with protein product,8678.0,3.0,1779.0,3.0,1779.0,protein coding
AAAS,19017,gene with protein product,17409.0,240.0,34773.0,78.0,18573.0,protein coding
AACS,18768,gene with protein product,77900.0,84.0,25778.0,55.0,22894.0,protein coding
AADAC,6874,gene with protein product,14416.0,9.0,2282.0,7.0,1989.0,protein coding
AADACL2,4313,gene with protein product,27424.0,9.0,9908.0,9.0,9908.0,protein coding
AADACL3,1983,gene with protein product,12651.0,7.0,7887.0,7.0,7887.0,protein coding
AADACL4,3179,gene with protein product,22992.0,4.0,2027.0,4.0,2027.0,protein coding
AADAT,11991,gene with protein product,31478.0,79.0,11657.0,31.0,4974.0,protein coding
AAGAB,19127,gene with protein product,54529.0,50.0,10077.0,32.0,8202.0,protein coding
AAK1,19369,gene with protein product,216353.0,103.0,46502.0,53.0,38460.0,protein coding
AAMDC,19088,gene with protein product,97324.0,50.0,6265.0,26.0,3454.0,protein coding
AAMP,19311,gene with protein product,6050.0,71.0,13558.0,39.0,9246.0,protein coding
AANAT,9721,gene with protein product,16767.0,18.0,4158.0,14.0,3157.0,protein coding
AAR2,18996,gene with protein product,34788.0,50.0,31125.0,23.0,16134.0,protein coding
AARD,11933,gene with protein product,6281.0,4.0,2791.0,4.0,2791.0,protein coding
AARS1,19041,gene with protein product,37725.0,714.0,131955.0,99.0,27685.0,protein coding
AARS2,18261,gene with protein product,14617.0,24.0,5533.0,24.0,5533.0,protein coding
AARSD1,16991,gene with protein product,13973.0,89.0,12838.0,61.0,9426.0,protein coding
AASDH,18982,gene with protein product,49222.0,99.0,24560.0,47.0,12313.0,protein coding
AASDHPPT,19233,gene with protein product,23199.0,22.0,10361.0,16.0,9431.0,protein coding
AASS,17323,gene with protein product,79726.0,411.0,103052.0,99.0,43626.0,protein coding
AATBC,10922,"RNA, long non-coding",6810.0,8.0,7419.0,6.0,5757.0,lncRNA
AATF,19015,gene with protein product,107947.0,184.0,42577.0,63.0,22549.0,protein coding
AATK,15621,gene with protein product,55735.0,81.0,29271.0,47.0,21618.0,protein coding
ABALON,11164,"RNA, long non-coding",1903.0,1.0,1903.0,1.0,1903.0,lncRNA
ABAT,18460,gene with protein product,109980.0,137.0,26489.0,64.0,19062.0,protein coding
ABCA1,18470,gene with protein product,147150.0,117.0,24091.0,61.0,16070.0,protein coding
ABCA2,18486,gene with protein product,21682.0,379.0,64968.0,146.0,27290.0,protein coding
ABCA3,17264,gene with protein product,64866.0,98.0,20034.0,61.0,12472.0,protein coding
ABCA4,9066,gene with protein product,128315.0,89.0,13456.0,72.0,10826.0,protein coding
ABCA5,18976,gene with protein product,82934.0,204.0,35471.0,91.0,20718.0,protein coding
ABCA6,15477,gene with protein product,63194.0,81.0,19752.0,76.0,19001.0,protein coding
ABCA7,18581,gene with protein product,25576.0,200.0,32479.0,133.0,23537.0,protein coding
ABCA8,11730,gene with protein product,88104.0,193.0,33296.0,90.0,18173.0,protein coding
ABCA9,12756,gene with protein product,86462.0,102.0,18059.0,61.0,12689.0,protein coding
ABCA10,15322,gene with protein product,97633.0,237.0,36023.0,99.0,17188.0,protein coding
ABCA12,8382,gene with protein product,207085.0,101.0,16788.0,57.0,10075.0,protein coding
ABCA13,10667,gene with protein product,476040.0,235.0,48394.0,129.0,33032.0,protein coding
ABCB1,17619,gene with protein product,210307.0,123.0,20792.0,59.0,11627.0,protein coding
ABCB4,15142,gene with protein product,78740.0,166.0,25968.0,70.0,12818.0,protein coding
ABCB5,10268,gene with protein product,161372.0,72.0,14863.0,42.0,10252.0,protein coding
ABCB6,12550,gene with protein product,9223.0,96.0,16129.0,56.0,11361.0,protein coding
ABCB7,19042,gene with protein product,105685.0,200.0,34202.0,64.0,13234.0,protein coding
ABCB8,18786,gene with protein product,19361.0,170.0,33889.0,77.0,18923.0,protein coding
ABCB9,17913,gene with protein product,60699.0,147.0,42004.0,61.0,23346.0,protein coding
ABCB10,18677,gene with protein product,42126.0,19.0,5358.0,19.0,5358.0,protein coding
ABCB11,6708,gene with protein product,115827.0,66.0,14178.0,53.0,12075.0,protein coding
ABCC1,18871,gene with protein product,194120.0,200.0,42405.0,75.0,21573.0,protein coding
ABCC2,13620,gene with protein product,69955.0,91.0,16110.0,61.0,12082.0,protein coding
ABCC3,16870,gene with protein product,57477.0,162.0,29803.0,97.0,19702.0,protein coding
ABCC4,18696,gene with protein product,281641.0,277.0,43400.0,95.0,17896.0,protein coding
ABCC5,18924,gene with protein product,98006.0,141.0,32353.0,80.0,22045.0,protein coding
ABCC6,15044,gene with protein product,73958.0,120.0,19537.0,63.0,11210.0,protein coding
ABCC8,8560,gene with protein product,84397.0,2691.0,390247.0,250.0,70429.0,protein coding
ABCC9,11905,gene with protein product,145155.0,412.0,79424.0,113.0,37045.0,protein coding
ABCC10,18641,gene with protein product,23062.0,82.0,19002.0,59.0,15316.0,protein coding
ABCC11,10225,gene with protein product,81796.0,155.0,27018.0,66.0,13704.0,protein coding
ABCC12,4874,gene with protein product,75137.0,218.0,42507.0,96.0,24012.0,protein coding
ABCD1,18005,gene with protein product,19900.0,18.0,5353.0,18.0,5353.0,protein coding
ABCD2,15839,gene with protein product,69771.0,10.0,6290.0,10.0,6290.0,protein coding
ABCD3,19114,gene with protein product,100278.0,83.0,16851.0,53.0,12775.0,protein coding
ABCD4,19152,gene with protein product,17787.0,201.0,30518.0,99.0,20081.0,protein coding
ABCE1,19308,gene with protein product,31237.0,77.0,13267.0,45.0,9756.0,protein coding
ABCF1,19237,gene with protein product,25787.0,105.0,14544.0,42.0,7401.0,protein coding
ABCF2,16933,gene with protein product,15722.0,34.0,7396.0,27.0,6140.0,protein coding
ABCF3,18560,gene with protein product,7918.0,141.0,20582.0,83.0,13762.0,protein coding
ABCG1,18590,gene with protein product,97556.0,136.0,27939.0,50.0,10785.0,protein coding
ABCG2,15567,gene with protein product,141479.0,57.0,14605.0,26.0,10462.0,protein coding
ABCG4,6372,gene with protein product,13602.0,61.0,13493.0,33.0,9778.0,protein coding
ABCG5,6815,gene with protein product,26394.0,41.0,11201.0,27.0,8558.0,protein coding
ABCG8,9336,gene with protein product,51047.0,25.0,12249.0,18.0,11101.0,protein coding
ABHD1,15342,gene with protein product,7024.0,45.0,10893.0,27.0,8090.0,protein coding
ABHD2,19323,gene with protein product,114897.0,63.0,15733.0,38.0,12440.0,protein coding
ABHD3,19136,gene with protein product,53880.0,52.0,11997.0,36.0,9632.0,protein coding
ABHD4,18568,gene with protein product,14674.0,47.0,9054.0,37.0,7818.0,protein coding
ABHD5,19057,gene with protein product,44264.0,95.0,28268.0,52.0,20916.0,protein coding
